"month","day","year","hour","minute","second","mw1","mw","drum_tsat","sec_sh_t","rh_out_t","pri_sh_t","hp_chest_in_temp","rh_bowl_in_t","fwd_temp_econ","hp_chest_delta_temp","ip_case_delta_temp","hp_stress_ratio","ip_stress_ratio","sh_dsup_flow","turb_throttle","mn_stm_cv","pulv_in_s","mw2"
3,6,2017,21,55,0,1.7,1.7,203.7,153.6,130.7,59.3,69.8,116.3,58,0.2,-0.1,0,0,0,2.6,56.3,0,1.7
3,6,2017,22,0,0,1.5,1.5,206,153.3,130.5,59.3,69.8,116.3,57.9,0.2,0.3,0,0,0,2.6,56.2,0,1.5
3,6,2017,22,5,0,1.5,1.5,203.7,153.3,130.4,59.3,69.9,116.3,58.1,0.3,0.2,0,0,0,2.6,55.9,0,1.5
3,6,2017,22,10,0,1.7,1.7,206,152.8,130.5,59.4,70,116.2,58.2,0.4,0.2,0,0,0,2.3,55.7,0,1.7
3,6,2017,22,15,0,1.7,1.7,206,153.3,130.6,59.3,69.9,116.1,58.1,0.3,0.1,0,0,0,2.3,55.9,0,1.7
3,6,2017,22,20,0,1.7,1.7,203.8,153.1,130.6,59.2,69.9,116.1,58.1,0.3,0.2,0,0,0,1.8,55.7,0,1.7
3,6,2017,22,25,0,1.5,1.5,206.1,152.8,130.1,59.4,69.6,116.1,58.1,0,0.2,0,0,0,2.6,55.9,0,1.5
3,6,2017,22,30,0,1.6,1.6,206,153.2,130.4,59.4,69.9,116,58,0.3,0.2,0,0,0,1.6,55.9,0,1.6
3,6,2017,22,35,0,1.6,1.6,206,153.3,130.2,59.3,69.9,116,58.1,0.3,0.2,0,0,0,2.6,55.7,0,1.6
3,6,2017,22,40,0,1.6,1.6,206,152.6,130.3,59.3,69.9,116.2,58,0.5,0.3,0,0,0,2.6,55.9,0,1.6
3,6,2017,22,45,0,1.8,1.8,203.8,152.8,130.4,59.4,69.8,116.1,58,0.3,0.3,0,0,0,2.6,55.7,0,1.8
3,6,2017,22,50,0,1.7,1.7,203.7,152.9,130.1,59.4,69.8,116.2,58.2,0.1,0.3,0,0,0,2.6,55.9,0,1.7
3,6,2017,22,55,0,1.7,1.7,203.8,152.9,130.3,59.4,69.6,115.6,58,0,-0.2,0,0,0,2.6,55.9,0,1.7
3,6,2017,23,0,0,1.6,1.6,206.1,152.9,130,59.4,69.8,116,58.2,0.1,0.2,0,0,0,2.6,55.6,0,1.6
3,6,2017,23,5,0,1.7,1.7,206.1,152.6,129.8,59.3,69.6,116,57.9,0,0.2,0,0,0,2.6,55.9,0,1.7
3,6,2017,23,10,0,1.8,1.8,206.1,152.4,130.1,59.4,69.8,115.7,57.9,0.1,0,0,0,0,2.6,55.7,0,1.8
3,6,2017,23,15,0,1.7,1.7,206,152.4,130.1,59.4,69.6,115.7,58.3,0,0.3,0,0,0,1.8,55.4,0,1.7
3,6,2017,23,20,0,1.7,1.7,203.8,152.4,129.8,59.4,69.6,115.7,58,0.2,0.3,0,0,0,2.6,55.1,0,1.7
3,6,2017,23,25,0,1.7,1.7,206.1,152.6,129.4,59.3,69.6,115.9,57.8,0.2,0.7,0,0,0,2.6,55.4,0,1.7
3,6,2017,23,30,0,1.7,1.7,206.1,152.1,129.7,59.2,69.7,115.8,58,0.3,0.7,0,0,0,2.6,55.1,0,1.7
3,6,2017,23,35,0,1.6,1.6,206,152.4,129.9,59.2,69.6,115.8,58,0.2,0.7,0,0,0,2.6,55.3,0,1.6
3,6,2017,23,40,0,1.8,1.8,206.1,152.2,129.9,59.4,69.9,115.7,58,0.3,0.6,0,0,0,1.8,55.4,0,1.8
3,6,2017,23,45,0,1.6,1.6,203.8,151.7,129.7,59,69.9,115.7,58,0.3,0.7,0,0,0,2.6,55.1,0,1.6
3,6,2017,23,50,0,1.7,1.7,203.8,152.1,129.6,59.3,69.6,115.7,57.8,0.1,0.7,0,0,0,2.6,55.4,0,1.7
3,6,2017,23,55,0,1.7,1.7,206.1,152.2,129.4,59.4,69.8,115,57.8,0.3,0.1,0,0,0,2.3,55.1,0,1.7
3,7,2017,0,0,0,1.6,1.6,206,152,129.4,59.2,69.6,115.5,57.8,0.1,0.6,0,0,0,2.6,55.4,0,1.6
3,7,2017,0,5,0,1.7,1.7,206.1,152.4,129.7,59.4,69.9,115.5,57.9,0.5,0.7,0,0,0,1.8,54.9,0,1.7
3,7,2017,0,10,0,1.8,1.8,206.1,152.2,129.4,59.2,69.6,115.5,57.9,0.3,0.8,0,0,0,1.6,55.3,0,1.8
3,7,2017,0,15,0,1.8,1.8,206.1,152.2,129.4,59.1,69.6,115.5,57.8,0.3,0.8,0,0,0,2.6,55.1,0,1.8
3,7,2017,0,20,0,1.7,1.7,203.8,152,129.4,59.3,69.6,115.1,57.9,0.3,0.5,0,0,0,2.6,55.1,0,1.7
3,7,2017,0,25,0,1.6,1.6,206,151.8,129.3,59.3,69.7,115.1,57.7,0.5,0.5,0,0,0,1.8,55.1,0,1.6
3,7,2017,0,30,0,1.8,1.8,206.1,151.9,129.5,59.2,69.6,115.1,57.6,0.4,0.5,0,0,0,2.6,54.9,0,1.8
3,7,2017,0,35,0,1.5,1.5,206.1,151.9,129.3,58.9,69.7,115,57.8,0.6,0.5,0,0,0,2.6,55.1,0,1.5
3,7,2017,0,40,0,1.7,1.7,206.1,152,129.2,58.9,69.4,115,57.9,0,0.4,0,0,0,2.6,54.9,0,1.7
3,7,2017,0,45,0,1.7,1.7,206.1,151.8,129.2,59.1,69.6,115,57.7,0.1,0.4,0,0,0,2.6,55.1,0,1.7
3,7,2017,0,50,0,1.7,1.7,203.8,151.7,128.8,59.1,69.7,114.9,57.8,0.8,0.2,0,0,0,2.6,54.8,0,1.7
3,7,2017,0,55,0,1.7,1.7,206.1,151.5,128.8,59.1,69.6,114.9,57.8,0.1,0.4,0,0,0,2.6,55.2,0,1.7
3,7,2017,1,0,0,1.8,1.8,206.1,151.5,129,59.2,69.6,114.9,57.6,0.1,0.4,0,0,0,2.6,54.9,0,1.8
3,7,2017,1,5,0,1.8,1.8,206.1,151.3,128.8,59.1,69.7,114.9,57.9,0.3,0.4,0,0,0,2.6,54.6,0,1.8
3,7,2017,1,10,0,1.8,1.8,203.8,151.3,128.7,59.1,69.4,114.8,57.5,0.5,0.4,0,0,0,2.3,54.6,0,1.8
3,7,2017,1,15,0,1.7,1.7,203.8,151.5,129.1,59.1,69.4,114.7,58,0,0.3,0,0,0,2.6,55.1,0,1.7
3,7,2017,1,20,0,1.7,1.7,206.1,151.2,128.6,59.1,69.4,114.7,57.6,0.1,0.2,0,0,0,2.6,54.3,0,1.7
3,7,2017,1,25,0,1.7,1.7,206.1,151.1,128.6,59,69.4,114.8,57.8,0.2,0.4,0,0,0,2.3,54.3,0,1.7
3,7,2017,1,30,0,1.7,1.7,206.1,151,128.8,58.9,69.6,114.8,57.6,0.3,0.4,0,0,0,1.6,54.6,0,1.7
3,7,2017,1,35,0,1.7,1.7,206.1,151.3,128.6,59.2,69.6,114.8,57.6,0.3,0.5,0,0,0,2.6,55.3,0,1.7
3,7,2017,1,40,0,1.8,1.8,203.8,151.1,128.5,58.8,69.3,114.8,57.6,0,0.3,0,0,0,2.6,55.1,0,1.8
3,7,2017,1,45,0,1.8,1.8,206.1,150.9,128.3,59,69.3,114.5,58,0.1,0.1,0,0,0,2.3,54.8,0,1.8
3,7,2017,1,50,0,1.7,1.7,206.1,151.1,128.4,59,69.6,114.5,57.7,0.3,0.3,0,0,0,2.6,54.3,0,1.7
3,7,2017,1,55,0,1.8,1.8,206.1,151.1,128.3,58.8,69.6,114.5,57.9,0.5,0.4,0,0,0,2.6,54.3,0,1.8
3,7,2017,2,0,0,1.7,1.7,206.1,150.7,128.4,59,69.2,114.5,57.5,0.3,0.1,0,0,0,2.6,54.6,0,1.7
3,7,2017,2,5,0,1.8,1.8,206.1,150.6,128.2,58.9,69.4,114.5,57.5,0.2,0.1,0,0,0,2.6,54.5,0,1.8
3,7,2017,2,10,0,1.8,1.8,203.9,151,128.2,58.5,69.3,114.4,58.1,0,0.1,0,0,0,2.6,54.3,0,1.8
3,7,2017,2,15,0,1.7,1.7,203.9,150.7,128,58.9,69.3,114.4,57.6,0.1,-0.1,0,0,0,2.6,54.3,0,1.7
3,7,2017,2,20,0,1.8,1.8,203.9,150.6,128.1,58.6,69.2,114.5,57.7,0.5,0.2,0,0,0,1.8,54.6,0,1.8
3,7,2017,2,25,0,1.7,1.7,206.1,150.5,128.1,58.8,69.6,114.5,58,0.5,0.7,0,0,0,2.6,54.9,0,1.7
3,7,2017,2,30,0,1.7,1.7,206.1,150.3,128.2,58.6,69.4,114.4,57.8,0.2,0.1,0,0,0,2.6,53.9,0,1.7
3,7,2017,2,35,0,1.7,1.7,206.1,150.7,128.1,59,69.6,114.2,57.9,0.7,0.4,0,0,0,2.6,54,0,1.7
